Youtuber,category,Country,subscribers,video views,uploads,highest_yearly_earnings,cluster
T-Series,Music,India,245000000,228000000000.0,20082,108400000.0,2
YouTube Movies,Film & Animation,United States,170000000,0.0,1,0.58,3
MrBeast,Entertainment,United States,166000000,28368841870.0,741,64700000.0,3
Cocomelon - Nursery Rhymes,Education,United States,162000000,164000000000.0,966,94800000.0,2
SET India,Shows,India,159000000,148000000000.0,116536,87500000.0,2
Music,0,0,119000000,0.0,0,0.0,3
ýýý Kids Diana Show,People & Blogs,United States,112000000,93247040539.0,1111,35100000.0,3
PewDiePie,Gaming,Japan,111000000,29058044447.0,4716,1900000.0,3
Like Nastya,People & Blogs,Russia,106000000,90479060027.0,493,2300000.0,3
Vlad and Niki,Entertainment,United States,98900000,77180169894.0,574,27900000.0,3
Zee Music Company,Music,India,96700000,57856289381.0,8548,38600000.0,3
WWE,Sports,United States,96000000,77428473662.0,70127,34300000.0,3
Gaming,0,0,93600000,0.0,0,0.0,3
BLACKPINK,People & Blogs,South Korea,89800000,32144597566.0,543,23900000.0,3
Goldmines,Film & Animation,0,86900000,24118230580.0,1,0.86,3
Sony SAB,Shows,India,83000000,101000000000.0,71270,79600000.0,3
5-Minute Crafts,Howto & Style,United Kingdom,80100000,26236790209.0,1,0.05,3
BANGTANTV,Music,South Korea,75600000,20826993957.0,2281,8100000.0,3
Sports,0,United States,75000000,0.0,3,0.77,0
Justin Bieber,Music,Canada,71600000,30608119724.0,249,8500000.0,3
HYBE LABELS,Music,South Korea,71300000,28634566938.0,1337,28700000.0,3
Zee TV,Entertainment,India,70500000,73139054467.0,129204,81900000.0,3
Pinkfong Baby Shark - Kids' Songs & Stories,Education,United States,68200000,38843229963.0,2865,22700000.0,3
Canal KondZilla,Music,Brazil,66500000,36775585925.0,2572,0.0,3
ChuChu TV Nursery Rhymes & Kids Songs,Education,India,65900000,45757850229.0,633,20200000.0,3
Shemaroo Filmi Gaane,Music,India,65600000,28648024439.0,8502,12200000.0,3
Colors TV,Shows,India,64600000,61510906457.0,112915,57000000.0,3
T-Series Bhakti Sagar,Music,India,61000000,29533230328.0,13,0.48,3
Dude Perfect,Sports,United States,59500000,16241549158.0,389,6800000.0,3
Movieclips,Film & Animation,United States,59500000,59316472754.0,39113,5500000.0,3
Tips Official,Music,India,59300000,33431802698.0,4741,20300000.0,3
El Reino Infantil,Music,Argentina,58400000,57271630846.0,1510,29400000.0,3
